rank	target_id	source_id	source_revision	source_lines	form	normalized	part_of_speech	flags	morphology	token_count	document_count	zipf	audit_flags	decision_status
504	0332c9ca4fd44249eb463585493824df066b799afb0d886d831894a2a160b44e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	10604	bêgiramîtî	bêgiramîtî	noun_fem	F	po:noun_fem					pending
505	0336b3685a3db7a67a7e123a4ec42136149d6321e240f5887ef2000ad89775b4	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	24571	lotandin	lotandin	verb	XF	po:verb					pending
506	0336f0e4c773afe3638da9b56636f74229d72789ae4ade819830f229cb15080a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	35841	sûçbarbûyî	sûçbarbûyî	adjective	AN	po:adj					pending
507	03386323f3ac8f123e60e19209ce557b06cc2ea21d7602f3233490dda093e921	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13820	daxilkirin	daxilkirin	noun_fem	F	po:noun_fem					pending
508	0338e38c18b4b9ad6ccc7db0c6f5add2f39717d4f2fb320fee96a52e4f78f66f	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	14217	derdor	derdor	noun_fem	F	po:noun_fem					pending
509	033ca9f2d31b72ec547da56965651a02c2f43366256d78fcbf15743a7278cbd1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	15621	dûkêlkirin	dûkêlkirin	noun_fem	F	po:noun_fem					pending
510	03421ded9701d2d8466d2904e56d7d0e4f153787c937344081ded04e733f3958	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41059	zêdekirin	zêdekirin	noun_fem	F	po:noun_fem					pending
511	034345ad7fc4710ff28b3d16b0cf823295c9a94ec957e37352ca65e3b765e83e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	43216	şerbetxwarî	şerbetxwarî	adjective	AN	po:adj					pending
512	03445499b9f1a60abf9ec65a56a8a072d3a59f27615a079ce3b630e763a6f69e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	29909	piyale	piyale	noun_fem	F	po:noun_fem					pending
513	0344a4f2dd58168804aaf6eea1536ebb7b645ee9dbd0147ffe91127cc8e74ff8	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	5684	bidaqurtandinî	bidaqurtandinî	adjective	AN	po:adj					pending
514	034647e7fa3f1f3b7877982ab29a0279f483d7fcfa275a8f424f3e514f87fe6f	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	10330	bêdoxî	bêdoxî	noun_fem	F	po:noun_fem					pending
515	0347b67b29d0fe0032e8e07a57f51b2df4a7fd3ca4a0c9dc37aa1a24052c5e0a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	14161	derb	derb	noun_fem	F	po:noun_fem					pending
516	034d5e36d200e5ab11f9ad176ad67e0d12b928407cab87abf37dff4d89f9bbba	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	7994	birewişt	birewişt	adjective	AN	po:adj					pending
517	034e3f9bba3033c4fd48c19261adc3a3778a31c53f6d045542367ccfc8328377	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	7061	bimanî	bimanî	adjective	AN	po:adj					pending
518	034e7103e9cb24107e1b86af0cabe11fea1d99ba4bfb583f336db06a2490491a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	35386	stajkirî	stajkirî	adjective	AN	po:adj					pending
519	0350a320e03904ce1a915c60b2b3f4e9f44b4b3a77223232076a7a366d088ad3	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	9471	bokser	bokser	noun_fem	F	po:noun_fem					pending
520	035254e76a20d73d53dd37781e1cd1dc087d059a66edf5af322b2c4dfc2866ef	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	16965	ferixîn	ferixîn	noun_fem	F	po:noun_fem					pending
521	03549922cae8fd2b82dcd3def4e125eccaa32323853aecafb3bae2a2e9b1d503	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	16808	fealiyetkirî	fealiyetkirî	adjective	AN	po:adj					pending
522	0354f74815e651be1926840a1da155ac8e5e05d8611f316fbda6498eb718c0a9	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	23911	kêrbûn	kêrbûn	noun_fem	F	po:noun_fem					pending
523	03582f439965e4f082d17d53062a7f244f9d2197f026a9b11943d6e3dcb09ea1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	7728	bipêbirî	bipêbirî	adjective	AN	po:adj					pending
524	03591ad3d40691da8b81ef0b5e48a9c946905173fb153a71fcd3a002f526942f	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41498	çekbendbûn	çekbendbûn	noun_fem	F	po:noun_fem					pending
525	0359c7308202c80d3a84d557b5b1890ad3bf936a41dae733bc4aac2436d37ddb	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	21050	hêsîbeskirî	hêsîbeskirî	adjective	AN	po:adj					pending
526	035b8e18774884b64a547223f5303aec437fdbbd9683b47147516121592df110	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	34273	serbênek	serbênek	noun_fem	F	po:noun_fem					pending
527	035bc0fc524d990930ad1b65f9944946dde8a96406a14e08d6f37c38ad9ba9fb	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13396	cêwîdeng	cêwîdeng	noun_masc	M	po:noun_masc					pending
528	035c7e7e974bb9c6dddc8c3ee88e043a4f442ac4c1fe17ce2012635448d30cb2	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	36805	teseledan	teseledan	noun_fem	F	po:noun_fem					pending
529	035eb0a2444f6abf8e3ab8fb5ebd4700983593bcd570f0189ac39af3eaf12200	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	18491	golfvanî	golfvanî	noun_fem	F	po:noun_fem					pending
530	035ecfe5e08b242b89e7b4d7d53d85da5e747ec7c52eb766e49cf7752509b017	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	14605	deyaxkirî	deyaxkirî	adjective	AN	po:adj					pending
531	035fdfde4ccdbbaab8b534ba9ca8b365edfb3934b78aa3359a41c048b3bb85be	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	17248	firoher	firoher	noun_fem	F	po:noun_fem					pending
532	0360358d3fc69312fff275a71322179776ce77b302f861df983aa5e49416d23a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	31544	qeyale	qeyale	noun_fem	F	po:noun_fem					pending
533	0360fe8d8d704917f3c079153eedb172914d96ee8c73b451bc92dc15e3eb4e68	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	17981	gerrgerrok	gerrgerrok	noun_fem	F	po:noun_fem					pending
534	0361a71f20fcf5e446d48dd95a153dfe0a0ce1280223310f1d236393970dc345	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	37658	Têlîcan	têlîcan	noun_fem	F	po:noun_fem					pending
535	03637f6607f64f5ecc3def27f7aaebbc5e8469d8a819319ebbffd6156ec962b6	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	30736	pîrozbûn	pîrozbûn	noun_fem	F	po:noun_fem					pending
536	03667af13e97715e0598a250439278de1964cdc04f1b0d6e1719ee71d3ce2601	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	35545	suwol	suwol	adverb	R	po:adv					pending
537	0367243bfe99eb2e17bf2dac82f75011169a332bdb2a001aff00f66ce18ed27b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	19499	helpastin	helpastin	noun_fem	F	po:noun_fem					pending
538	0367250db162894872495a8a18aa3a6aabd0e869c88355e8da507cb7ae97b71d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	27443	nepakî	nepakî	noun_fem	F	po:noun_fem					pending
539	03679f6b017d40abed43cc987e0523bdf1bc039d5144bf719c5ee7a1e112f40c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	3031	bapor	bapor	noun_fem	F	po:noun_fem					pending
540	036a664bd9e31604a50ac3c57cc3ec54f88c8bfb6c57de6f4afa36e3fe176fc1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	21417	islûb	islûb	noun_fem	F	po:noun_fem					pending
541	036e81d2ed7e89f07b90c7a508ed01de5b1720e29ad0c1f775ebffb87ebf3586	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	15133	dobekirin	dobekirin	noun_fem	F	po:noun_fem					pending
542	03700c5b73e25002b2c404ac9d6cd21e0a9c60be36a2854765886aac6f23c6b7	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41472	çavşorî	çavşorî	adjective	AN	po:adj					pending
543	037095e83b1719c3be12f8ebfa83e77d377cbc18059753dc5e7ad57f22f7567f	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	8673	bivaştin	bivaştin	verb	XF	po:verb;is:infinitive_transitive_active;st:biv;lem:bivaştin					pending
544	0370df2dc0b26a36bd63d2a805e1976d592a1a749bc3eb80094438c625da57e2	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	23537	kujdan	kujdan	noun_fem	F	po:noun_fem					pending
545	03721b43a29b75fcaaac4cec7782e296f6546edd9f6b2581f3d6105b6869f9e5	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	7076	bimebest	bimebest	adjective	AN	po:adj					pending
546	03724c430ff49a3df00a82a28f64c99d8aca689b4f8f92df87bd725c54ffeff4	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	2031	awante	awante	adjective	AN	po:adj					pending
547	0372de5121db212fb4f1f6b0f800808a6cf038e1756ddf40036d35f8602a8a9b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13529	dafdan	dafdan	noun_fem	F	po:noun_fem					pending
548	037463f3013b8d557b09b7ed7aab11e066711bd1c4d4d47d43ed6c88fca2df58	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	31776	qoltix	qoltix	noun_fem	F	po:noun_fem					pending
549	037812f73021cbb0dcd95be5f637f19aee4caa24297949ea11e6594e2250dea4	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	25944	mihim	mihim	adjective	AN	po:adj					pending
550	0378938bcdb242d292487eda4ac7fb74bd85f26a88fecb73dd37a707cba1b344	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	20473	hilmeşîn	hilmeşîn	verb	XF	po:verb					pending
551	037d11c86534be4a94baebe2a79d6be0b7b08ec4743918ede2312445c6c36088	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	7511	binuqsanî	binuqsanî	noun_fem	F	po:noun_fem					pending
552	037ed992229bdc1bd0ca5c317bd2b2b4b7e3e87cd0c13adb3bdd9e697dfb82a6	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	11237	bêkunc	bêkunc	adjective	AN	po:adj					pending
553	037f29c3cc491ca1732e42a6dadedea3d79db070d802b370e7c90baa9a247d3c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	38081	venêrîn	venêrîn	verb	XF	po:verb					pending
554	037f663c19b1f62dd72e0150495520a009f5257b409be818b1740eabab04b9b8	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	30105	popûlerbûyî	popûlerbûyî	adjective	AN	po:adj					pending
555	038315fd596728e11e7d34a82aa90b9653f24daa47c66aca0aefbb91fc224517	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	21228	hûkirin	hûkirin	noun_fem	F	po:noun_fem					pending
556	0383b7f2674d118e601c2909a43dfad68873d72479aa1ea81aa38945bf376453	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	18872	gunehbarî	gunehbarî	noun_fem	F	po:noun_fem					pending
557	03885a6d250c013ee684320199f45268a116c7b9c1b15a9796f156d7b58bf60a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	28064	niştimanperwer	niştimanperwer	adjective	AN	po:adj					pending
558	038c2e50f7a838f7eb0d5abbbac1b3c010edbd2ab9bae7c0599946913fa89579	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	6851	bikêmasîbûn	bikêmasîbûn	noun_fem	F	po:noun_fem					pending
559	038e5633b56d53852ae3c84ef159d31adbb6256f59a93c5dc73cfa4c7d6a192a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	26276	mistek	mistek	noun_fem	F	po:noun_fem					pending
560	0392fd88a3d40448bfd8764a1301d1227c744ea768fae67b57875804b675f17a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	15979	elewat	elewat	adjective	AN	po:adj					pending
561	03949b9e6b9c3e1a1aaebefdf51732ba601b86a74735ee9303ade07cee1058f0	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	39086	xemlûxêl	xemlûxêl	adjective	AN	po:adj					pending
562	0399520ead7706154a7786d00eea83bd2ffb4a20fce02d5cb89b620ab096c6f1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	43247	şermezarîbûn	şermezarîbûn	noun_fem	F	po:noun_fem					pending
563	039c6964364b5f9c4a317af90efa89529c3137c92e85cd5ba62c58e34b907ac3	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	19758	herwuha	herwuha	adverb	R	po:adv					pending
564	03a06f0225b0cd8b9078eda7895faa39f9152defd3864f6eb8cb694d266eaba1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	3921	belêpa	belêpa	adverb	R	po:adv					pending
565	03a17bde1ec154d812d9073f63f19151a04c6946e46934c357124359bba6063d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	27407	nemerdbûyî	nemerdbûyî	adjective	AN	po:adj					pending
566	03a74ed2511c05abf920f0f40c89e920640b32968a29ad13819375b332f7d04d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	8775	bixemjêxwarin	bixemjêxwarin	adjective	AN	po:adj					pending
567	03a7c2f3b02fa734f4297bfea90d64c21d1685155090297c84184735de75cf7a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	38519	wergerandin	wergerandin	noun_fem	F	po:noun_fem					pending
568	03a8c3e01169e5e7d836891c98aef50ba6c1b1c076547592d20fa6fcedf852aa	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	24134	layiqbûyî	layiqbûyî	adjective	AN	po:adj					pending
569	03a97f28326f13b8ecd01c9fb8ecf5f5ba59af3fe19b93ddf216279e3ffa4b9f	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	14517	devjûjî	devjûjî	adjective	AN	po:adj					pending
570	03abde0773ef8d52eaa317313e731e9fe52851a0bbec4f7906e2eeb7487c9798	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13392	curet	curet	noun_fem	F	po:noun_fem					pending
571	03ac503b58f77b660ced44fc0bf6335c3d693ae5bc7b57f741b28a54ed34ddf1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	11870	bêqanûnî	bêqanûnî	noun_fem	F	po:noun_fem					pending
572	03acedf8b810290e0f3a5996f6ad59eb3c933c4b4c784ad7b0cf70b475cef26b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	19561	hemk	hemk	noun_fem	F	po:noun_fem					pending
573	03ae46380dd9694114f893f75084273bfdcb67e32aa8990f99dd868f3fd2311b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	12255	bêwezîfe	bêwezîfe	adjective	AN	po:adj					pending
574	03afcddff6dfdf5605e1e84af0bd788467ffd4f6d8861a92a266de17b4c14bae	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40012	xwînpere	xwînpere	noun_fem	F	po:noun_fem					pending
575	03b0964732de3c4b8c35ad3c8a7abc40f7f459a3b5b8cc89c07f53af5f037b1d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	42532	îmal	îmal	noun_fem	F	po:noun_fem					pending
576	03b16a18388e60d1bd1a9197879daf044b30e90387f68271090c61b75d402d33	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	12030	bêrûmetîkirin	bêrûmetîkirin	noun_fem	F	po:noun_fem					pending
577	03b2094f7434938cc1a78c48430e3a30bc5c8607b8a352cde056c92b0e0e4fda	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	30129	Portsmouth	portsmouth	propn	ZF	po:propn					pending
578	03b235d0b2f78c61fc0520a9abdf0c3def75ac1edab53aa1fca7272fcc72635b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	25654	metbex	metbex	noun_fem	F	po:noun_fem					pending
579	03b32e863765448d3ebee3f887aca6a49ad0f076cbb537698dd24a29872bcbd3	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	4481	berhevokî	berhevokî	noun_fem	F	po:noun_fem					pending
580	03b3a3fd6b37e73022521dbf42cb811aebe2633421d50460729f1865b6fec1c2	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	24954	malînkarî	malînkarî	noun_fem	F	po:noun_fem					pending
581	03b51202f0f1d8fc88f1d8e3d89ed94dcc0582655094dd70b2412959049b6bd5	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	11033	bêj	bêj	verb	V	po:verb;is:present_stem_transitive_active;st:bêj;lem:gotin					pending
582	03b52efc882cd91d5a80cbbd2e7ef6cc51bb05ede28759aa8c4d966b9e51e09d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	39529	xişt	xişt	noun_fem	F	po:noun_fem					pending
583	03b5539438ef1b3309f6a885846c54d6867382ab6efc13d823e1b15ef0374d9a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	16664	ezmandirêj	ezmandirêj	adjective	AN	po:adj					pending
584	03ba6e605db76bcc4cb711f5d10cb120c630a8e676e04d1eae5a91d526c08592	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	27535	nerimbûn	nerimbûn	noun_fem	F	po:noun_fem					pending
585	03bc25b178557bf097440985e477ea791b4e5db2562a38e6e12f56f1f6aab906	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	3384	bazinkirî	bazinkirî	adjective	AN	po:adj					pending
586	03bda44ba9cf9e24a9adb9c75ccb72f495a0c8ef3585c8f0e5a3b988030bd2a6	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	22805	keşvanî	keşvanî	noun_fem	F	po:noun_fem					pending
587	03bf4fe57da2ee34c900cbbdbd8c7b21f7cb80b0f1f74989e7517ba85ddb7329	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	28134	notir	notir	noun_fem	F	po:noun_fem					pending
588	03c339611effb584979bf5549a520004b3027a01157b3f3aca741cd8111185d5	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	17219	Firenze	firenze	propn	ZF	po:propn					pending
589	03c4c9d6e5deea1088da1b06776073162a46751c9cdc471e118007b344649ec3	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	8135	birêdanî	birêdanî	noun_fem	F	po:noun_fem					pending
590	03c59b1da7eb4c5a9de09fb7d337922b412c79420622f3847ad71063f755729b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	30741	pîrozwerbûn	pîrozwerbûn	noun_fem	F	po:noun_fem					pending
591	03c5aa887bee0ca1442145341be1bb321bcb65e6c0c89b76b0f7831a01bc17c8	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	28953	paçve	paçve	noun_fem	F	po:noun_fem					pending
592	03c64707654fcfff6da9446b59681e36f5e546699630de7b7af5a71e428977d8	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	37688	têrnexwar	têrnexwar	adjective	AN	po:adj					pending
593	03cc21881afe1c7c345f2742327ecd10c9c85ac63e5f1be876c0937831227bde	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	39415	xiratxane	xiratxane	noun_fem	F	po:noun_fem					pending
594	03cc2b4005b9fd6b1217c69d21447ffdfba6eaeaa4d66f7189a8b3cbfad43332	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	21385	iqtisadvanî	iqtisadvanî	noun_fem	F	po:noun_fem					pending
595	03cc8c29c78d96c25c503b610ed04f3a3422962e28cf4fede058e7ac1cabf9e6	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	25202	meclisvanî	meclisvanî	noun_fem	F	po:noun_fem					pending
596	03cd01a14072ab281c0be67eef7fe25489c520d36e730e5261f045045d7cfcfd	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	14111	dengûdor	dengûdor	noun_fem	F	po:noun_fem					pending
597	03cf49dc02ee5ba1e01b4ddb54b2f5fed090d112e8ab28e1eca5271ad4746046	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	14977	dirandar	dirandar	adjective	AN	po:adj					pending
598	03d19d80676c41909d5a5a2d89eebfb83dd3564d784a6af3621f175eced2c33c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	16857	felcbûn	felcbûn	noun_fem	F	po:noun_fem					pending
599	03d4abda21dde4518aca55564abb7dfbeafd0d428a2667ecd790ee814a735629	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	26992	nasayîş	nasayîş	noun_fem	F	po:noun_fem					pending
600	03dc5cbcd95be34d68af7abb6bfce474735c7116ec44b53999dabe813847a621	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	27722	nexşand	nexşand	verb	T	po:verb;is:past_stem_transitive_active;st:nexş;lem:nexşandin					pending
601	03e287a7014e14fdb30cd2e74b063f084d51ab9227432c3e292954664fea0a49	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	10976	bêhêçanî	bêhêçanî	noun_fem	F	po:noun_fem					pending
602	03e3cd126c22923dd5abc28a94b5c02a5f6a8d7c30d385c56dd67d471e02f580	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	26503	moran	moran	noun_fem	F	po:noun_fem					pending
603	03e607619e639e0e99884555d0562f0b1f7664cd7440073bde051e8bd897e37b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	5934	biegaleyî	biegaleyî	noun_fem	F	po:noun_fem					pending
604	03e645b0f9674be165220190026b3b1e4ba95461616c47b69fb0041702286b86	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	16073	emîsarane	emîsarane	adjective	AN	po:adj					pending
605	03e65666e3b3d2b0958edd1e693f50f618ebfa3e9606f52d077f3e0c6b144ed1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13873	daûrandin	daûrandin	noun_fem	F	po:noun_fem					pending
606	03e69a94fb8e8022d8e4fc45ac30e5b12d46e108998e674a038213a97a6be30f	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	34702	sewiye	sewiye	noun_fem	F	po:noun_fem					pending
607	03e8cc27f9aaaab5813dfcb74a208f9b464cc5a85a128c2350277752e1781000	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	20599	hingijtin	hingijtin	verb	XF	po:verb					pending
608	03e8ef9fbd4d582e98c313b1718d4d6cecb55c1b28e99f45b0d76b7ad096dace	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	1512	arxayîn	arxayîn	adjective	AN	po:adj					pending
609	03e91f4cc721889bf7ddd70b9d5ec1aafc95cf6ecdcb066d4353956710b457cf	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	27780	neçak	neçak	adjective	AN	po:adj					pending
610	03ec73cebc1c8213af9051cc23449e888fd95240b0320cbb9d5185755a59bcfb	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	4341	berevajîbûyî	berevajîbûyî	adjective	AN	po:adj					pending
611	03ed08cd66b4d1472b3444394b8c2c3a1d2c64dfbdc34708c233145ac11da65b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	3373	bazdanî	bazdanî	adjective	AN	po:adj					pending
612	03ee12bc0a8e6b5d9536c545737e6f000b285196e67dad95e2721adffea6d962	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	4667	bersivkirî	bersivkirî	adjective	AN	po:adj					pending
613	03f230b116fbc8c188cfe7ce420a4753dc04ee96f8a5886971864d493a0e3c25	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	15236	dorkirin	dorkirin	noun_fem	F	po:noun_fem					pending
614	03f4385533e73c2e27cf647ef353fa26313fea8bed2354ef0cc4eb2f0415a564	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	38173	vezelokîbûn	vezelokîbûn	noun_fem	F	po:noun_fem					pending
615	03f43f29bae26ba0b1c680f1927d004d30e023fcb7347275c806b250222f2696	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	22658	kevnebajar	kevnebajar	noun_fem	F	po:noun_fem					pending
616	03f4a7cfd8ab9ec157dd22d67de9f85007a505ea6e20500455e38ba85147f8d9	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	12983	cenbelî	cenbelî	adjective	AN	po:adj					pending
617	03f5e520636503fcccbc882aed06e776ac5d975f54eb395c6e3564b6bbcadb32	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13588	dakirî	dakirî	adjective	AN	po:adj					pending
618	03f8f4b419ef22fd385b870030c3f7a4f4e01249d4aca54fca896076f2c168fc	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	31876	qumar	qumar	noun_fem	F	po:noun_fem					pending
619	03f932aa00932f7196a9a419cf871dce94921cc5a7fb9be2eea8afe1b819cac2	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	3646	behremendkirin	behremendkirin	noun_fem	F	po:noun_fem					pending
