rank	target_id	source_id	source_revision	source_lines	form	normalized	part_of_speech	flags	morphology	token_count	document_count	zipf	audit_flags	decision_status
407	028f4ea8fec6ae08d96bd14338b6def8e3adde71d0aa8c1fc5eb7aab42b3f0fb	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	19825	hesk	hesk	noun_fem	F	po:noun_fem					pending
408	028f67b81b18e5e4e6a01ad607a0c69089db6d2284533c8752168fd603bcbe12	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	11290	bêlezûbizav	bêlezûbizav	adjective	AN	po:adj					pending
409	028fdceb91bd217735a0276355fde251923b0b2dab4e0f232e2389d9b81df40a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	7012	bilêtfiroşî	bilêtfiroşî	noun_fem	F	po:noun_fem					pending
410	029060dc495f68a9a5dcd6b6d3bafb2a027741822ae189c551ddb7be2b4194c2	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	37769	tîtal	tîtal	noun_fem	F	po:noun_fem					pending
411	02929982207e81a5c9092aabb7c36568aa42d1b9e8c41325df6ee9a35f6217df	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13432	cînayet	cînayet	noun_fem	F	po:noun_fem					pending
412	0294514dba13d73eddab3a4fb31f0ae834a545c7a599c11b3eb869d7859ced17	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	31356	qerfkirî	qerfkirî	adjective	AN	po:adj					pending
413	0296dbde652523d98935100ab612c67ea02f4dc898111f804da3e9ca9254dbd1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	14894	dilxerabî	dilxerabî	adjective	AN	po:adj					pending
414	0298750bcda7b691e5face4761045d0918c7e88cb71f0bf449aca4b67e1724e4	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	22613	ketoberkirin	ketoberkirin	noun_fem	F	po:noun_fem					pending
415	0298a71e3523f4c7dc2b5325944bfc923e6eaa3fe2ef6029b21cf68e0b3345d9	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	7377	binelî	binelî	noun_fem	F	po:noun_fem					pending
416	029960dfa88fc41165a44138d2b25be19c739b3a2223e65f2e5e2dd7ee39d828	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41313	çarebar	çarebar	adjective	AN	po:adj					pending
417	029d32cbf69e75311611360b34676b3d62c886c7c0630c0cf22013989e6e0e7d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	10089	bêbêvil	bêbêvil	adjective	AN	po:adj					pending
418	029eaa224b80e429a1e49bc94b46a96b035cab258211d2b6249d8b4ad46d5f32	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	22977	kirtîn	kirtîn	noun_fem	F	po:noun_fem					pending
419	029ff36ad1342d6e56a2b7ea854a37c22fba6a66a54d56f03821599ec57e586e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	34570	serpêçandî	serpêçandî	adjective	AN	po:adj					pending
420	02a05c02e2104ff431d0b481fcb89c21b2beb5d7905fc748e267cc34a996b90a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	25608	mesleg	mesleg	noun_fem	F	po:noun_fem					pending
421	02a0d0031e4415dee76b8c6371665df1722a8ab3af8ee234df4079f3140e3a18	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13465	Daban	daban	noun_fem	F	po:noun_fem					pending
422	02a5334fd1e5d14b140c94629b035ed4fc755b20410bd99a54f7b7cfb67c3d6e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	27922	niqaşkirin	niqaşkirin	noun_fem	F	po:noun_fem					pending
423	02a540343c5803143ede0566bb034b2537a5ea025bfa992f70a7c6ea7aa06310	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	35689	sînematografî	sînematografî	noun_fem	F	po:noun_fem					pending
424	02a7c0cd451f996793780350a5ef3d128a0c3e64be08bb6407026fbfbdba44c9	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	19819	hesindar	hesindar	adjective	AN	po:adj					pending
425	02a8571fe5d4c009aaa195c82550115b1204a5b664223658f790551945c5d6a7	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	4366	berfere	berfere	adjective	AN	po:adj					pending
426	02aa5992f382c0abdc18cad77832b7baa7c10ab837d50829cd7158d0f202935d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	35737	sîselebûyî	sîselebûyî	adjective	AN	po:adj					pending
427	02abb2049ff6bc92733c072a719aa21912ccc66df8b9e5462e4b7accfbaed574	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	23558	kulekî	kulekî	noun_fem	F	po:noun_fem					pending
428	02ac48d5e838e3a07f4d580bcbbe9d274df2aa3824337812cc7d5207807c3edc	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41270	çandî	çandî	adjective	AN	po:adj					pending
429	02adf2783cd08ca81d6a03d01a09c4e81312b6317f3ce88114344dd605c5dbc0	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40936	zivrrok	zivrrok	adjective	AN	po:adj					pending
430	02ae07013a56eb47990e451b1e819561ef1608ded001cacd95f55496e76a8bf8	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	15972	eleqedarbûn	eleqedarbûn	noun_fem	F	po:noun_fem					pending
431	02af3e37d73967003e6728abada047370956a03463fc92d237be94300d0302ae	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13736	dariştin	dariştin	noun_fem	F	po:noun_fem					pending
432	02b25a8552cc214a1790ee37673e5579e80139a1060571c053c7a38dfdf8289e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41469	çavşaşîbûn	çavşaşîbûn	noun_fem	F	po:noun_fem					pending
433	02b3547dd37adc693b5677d47a2baf0dcd863cf91cc518c0d80019369f023a21	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	30627	pêşmêjûvanî	pêşmêjûvanî	noun_fem	F	po:noun_fem					pending
434	02b7d2dc90bc9cb083add9d11b34bc5eddb31204f9a320f13ecec9ad88fe324c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	23407	kotromîbûn	kotromîbûn	noun_fem	F	po:noun_fem					pending
435	02b81fb40f7a6593ffaca371a246202f42b3d76fac2e0a33c39103d6a49f1c14	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	37136	tigrînya	tigrînya	noun_fem	F	po:noun_fem					pending
436	02b899be33eaec1a1507dedc3162e4f9734623a3937494284ccd32a49d3720ba	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13821	daxistin	daxistin	noun_fem	F	po:noun_fem					pending
437	02ba03e2b6924e7e9d36ca411184fe5bf173f147ccfd70b2c4aa25addec9ef0c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	1313	aramdar	aramdar	adjective	AN	po:adj					pending
438	02c0d7a7a3b98451e5579deef9b7b09b820ceb26b92cb54a867f97f19df0c437	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	26052	mimkinbûn	mimkinbûn	noun_fem	F	po:noun_fem					pending
